상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,지번주소,경도,위도
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 상계동 763-7,127.0619846,37.64848647
마마운동화이불빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 대방동 391-85,126.9243028,37.5027311
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 56-119,126.9532623,37.48365472
홍대빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 서교동 355-12,126.9207713,37.55318431
명품운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 상계동 140-80,127.0753213,37.66411659
24시셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 860-52,126.9529568,37.48285909
럭스운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 구의동 237-2,127.0861511,37.54331702
운동화빨래방이불,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 응암동 72-6,126.9299546,37.60031101
셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 971-4,126.8485639,37.54742037
빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 합정동 372-7,126.9144236,37.54762077
무지개세탁빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 구로구 구로동 252-38,126.8913733,37.4840453
화이트운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 노원구 상계동 1106-12,127.0541558,37.6760406
뽀솜이빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1532-15,126.9334875,37.46925026
클린클린셀프빨래방건대점,건대점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 화양동 12-58,127.0707002,37.54458405
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 회기동 103-16,127.0525622,37.59088886
웰빙빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 제기동 235-1,127.0339993,37.58331381
