광역시도,행정구역,주소,shortName,x,y,유치원_정원_수,유치원_보육교직원_수,유치원_보육실_수,놀이터_수,유치원_CCTV설치_수,스쿨버스_운영비율,0~7세 인구수
경상남도,창원시,경상남도 창원시,창원,7,18,39.16474292,7.415529906,0,0,0,0.800629591,71735
경상남도,통영시,경상남도 통영시,통영,8,20,49.29767442,8.274418605,4.76744186,0.423255814,5.172093023,0.902325581,8885
경상남도,하동군,경상남도 하동군,하동,5,19,66.4375,8.4375,5.6875,1.125,5.5625,1,1643
경상남도,함안군,경상남도 함안군,함안,7,17,36.42105263,7.236842105,3.964912281,0.359649123,2.833333333,0.850877193,3773
경상남도,함양군,경상남도 함양군,함양,6,16,52.6,9.666666667,5.066666667,0.807692308,5.466666667,0.8,1545
경상남도,합천군,경상남도 합천군,합천,7,14,53.75,8.291666667,5.125,0.75,5.166666667,0.916666667,1405
경상북도,경산시,경상북도 경산시,경산,11,12,50.80940594,8.853960396,5.059701493,0.44278607,7.611940299,0.467821782,17828
경상북도,경주시,경상북도 경주시,경주,12,12,47.45558739,8.097421203,5.179775281,0.421348315,6.691011236,0.461318052,13585
경상북도,고령군,경상북도 고령군,고령,7,13,58.27272727,8.757575758,4.882352941,0.647058824,8,0.454545455,1426
경상북도,구미시,경상북도 구미시,구미,9,10,39.87726358,7.552313883,0,0,0,0,35671
경상북도,군위군,경상북도 군위군,군위,9,11,58.72727273,6.636363636,4.5,0.666666667,5.833333333,0.454545455,629
경상북도,김천시,경상북도 김천시,김천,8,11,42.71559633,7.779816514,4.926605505,0.366972477,6.752293578,0.431192661,8969
